BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,PRICE,QUALIFIED,SALE_NUM,GBA,STYLE_D,STRUCT_D,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,ZIPCODE,LATITUDE,LONGITUDE,CENSUS_TRACT,WARD
4,1,Hot Water Rad,Y,2,8,4,1910,2013,3,1670000,Q,5,2250,3 Story,Semi-Detached,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,24,1012,20009,38.91391923,-77.04298192,4202,Ward 2
2,2,Ht Pump,Y,2,7,3,1905,1988,3,1427078,Q,3,2067,3 Story,Row End,Very Good,Good,Brick/Stone,Metal- Sms,Hardwood,2,4,24,791,20009,38.91344084,-77.04188129,4202,Ward 2
3,2,Warm Cool,Y,1,9,4,1916,2005,3,840000,U,1,1902,3 Story,Row End,Very Good,Good,Brick/Stone,Built Up,Hardwood,1,2,11,925,20009,38.91346954,-77.04221119,4202,Ward 2
3,1,Warm Cool,Y,2,8,5,1910,2003,3,1236000,Q,5,2050,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,1,24,833,20009,38.91390942,-77.041967,4202,Ward 2
4,1,Warm Cool,Y,2,9,5,1916,2010,4,3150000,Q,4,5733,4 Story,Row End,Very Good,Good,Common Brick,Built Up,Hardwood,2,5,24,1932,20009,38.91328184,-77.04311667,4202,Ward 2
3,1,Hot Water Rad,Y,1,11,5,1900,1998,4,2200000,Q,2,4808,4 Story,Row Inside,Very Good,Good,Stone,Metal- Sms,Hardwood,2,5,11,1850,20009,38.91292295,-77.04311253,4202,Ward 2
5,2,Forced Air,Y,2,9,6,1910,2011,3,2300000,Q,7,3435,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,2000,20009,38.91351091,-77.04313941,4202,Ward 2
3,1,Hot Water Rad,Y,1,8,4,1908,2002,3,1215000,Q,4,1644,3 Story,Row Inside,Very Good,Good,Brick/Stone,Metal- Sms,Hardwood,1,1,11,969,20009,38.91326414,-77.04199084,4202,Ward 2
4,1,Warm Cool,Y,1,7,4,1910,2015,3,1250000,Q,1,2856,3 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1600,20009,38.91174657,-77.04312854,4202,Ward 2
3,1,Forced Air,Y,1,10,3,1900,2007,3,1499000,Q,5,1726,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,1,2,11,795,20009,38.91175451,-77.0427748,4202,Ward 2
3,1,Hot Water Rad,Y,2,8,4,1900,2010,4,850000,Q,1,2368,4 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,24,875,20009,38.91175573,-77.04272338,4202,Ward 2
9,2,Warm Cool,Y,1,25,8,1900,2007,4,8450000,Q,1,8321,4 Story,Row End,Exceptional-C,Very Good,Brick/Stone,Built Up,Hardwood,2,13,11,4196,20009,38.91240787,-77.04281094,4202,Ward 2
2,1,Warm Cool,Y,1,7,3,1885,2016,3,1900000,Q,2,1368,3 Story,Row Inside,Excellent,Excellent,Stucco,Built Up,Hardwood,1,2,11,1200,20009,38.9123485,-77.04314505,4202,Ward 2
